;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
Crude_oil;0;0;0;0;0;0;0;0;0;0
Liquid_fuels;-0.0880128306735911;-0.0880128306735912;-0.0880128306735911;-0.0880128306735911;-0.0880128306735911;-0.0880128306735911;-0.0880128306735911;-0.0880128306735911;-0.0880128306735911;-0.0880128306735911
Gas_fuels;-0.0842363972773578;-0.0842363972773578;-0.0842363972773578;-0.0842363972773578;-0.0842363972773578;-0.0842363972773578;-0.0842363972773578;-0.0842363972773578;-0.0842363972773578;-0.0842363972773579
Solid_fuels;0;0;0;0;0;0;0;0;0;0
Elec_heating;-0.0674835558180423;-0.0674835558180423;-0.0674835558180423;-0.0674835558180423;-0.0674835558180423;-0.0674835558180423;-0.0674835558180423;-0.0674835558180423;-0.0674835558180423;-0.0674835558180423
Steel_Iron;0;0;0;0;0;0;0;0;0;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0
Cement;0;0;0;0;0;0;0;0;0;0
OthMinerals;0;0;0;0;0;0;0;0;0;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0
Paper;0;0;0;0;0;0;0;0;0;0
Auto_industry;-0.24855709734257;-0.24855709734257;-0.24855709734257;-0.24855709734257;-0.24855709734257;-0.24855709734257;-0.24855709734257;-0.24855709734257;-0.24855709734257;-0.24855709734257
OthEquip;-0.19101639422829;-0.19101639422829;-0.19101639422829;-0.19101639422829;-0.19101639422829;-0.19101639422829;-0.19101639422829;-0.19101639422829;-0.19101639422829;-0.19101639422829
Electronics;-0.191016393373299;-0.191016393373299;-0.191016393373299;-0.191016393373299;-0.191016393373299;-0.191016393373299;-0.191016393373299;-0.191016393373299;-0.191016393373299;-0.191016393373299
Food_industry;-0.0876667863562348;-0.0876667863562348;-0.0876667863562348;-0.0876667863562348;-0.0876667863562347;-0.0876667863562348;-0.0876667863562348;-0.0876667863562348;-0.0876667863562348;-0.0876667863562348
OthManuf;-0.1910164071522;-0.1910164071522;-0.1910164071522;-0.1910164071522;-0.1910164071522;-0.1910164071522;-0.1910164071522;-0.1910164071522;-0.1910164071522;-0.1910164071522
LandTransp;-0.164060058262511;-0.164060058262511;-0.164060058262511;-0.164060058262511;-0.164060058262511;-0.164060058262511;-0.164060058262511;-0.164060058262511;-0.164060058262511;-0.164060058262511
NavalTransp;0;0;0;0;0;0;0;0;0;0
AirTransp;-0.294458986121112;-0.294458986121112;-0.294458986121112;-0.294458986121112;-0.294458986121112;-0.294458986121112;-0.294458986121112;-0.294458986121112;-0.294458986121112;-0.294458986121112
AgriForest_Fish;-0.109780310459551;-0.109780310459551;-0.109780310459551;-0.109780310459551;-0.109780310459551;-0.109780310459551;-0.109780310459551;-0.109780310459551;-0.109780310459551;-0.109780310459551
Construction;-0.28945203623652;-0.28945203623652;-0.28945203623652;-0.28945203623652;-0.28945203623652;-0.28945203623652;-0.28945203623652;-0.28945203623652;-0.28945203623652;-0.28945203623652
Property_business;0;0;0;0;0;0;0;0;0;0
Compo;0;0;0;0;0;0;0;0;0;0
